"idUSer";"timestamp";"code";"idJoint0";"x0";"y0";"z0";"a0";"idJoint1";"x1";"y1";"z1";"a1";"idJoint2";"x2";"y2";"z2";"a2";"idJoint5";"x5";"y5";"z5";"a5";"idJoint6";"x6";"y6";"z6";"a6";"idJoint8";"x8";"y8";"z8";"a8";"idJoint11";"x11";"y11";"z11";"a11";"idJoint12";"x12";"y12";"z12";"a12";"idJoint14";"x14";"y14";"z14";"a14";"idJoint16";"x16";"y16";"z16";"a16";"idJoint17";"x17";"y17";"z17";"a17";"idJoint19";"x19";"y19";"z19";"a19";"idJoint20";"x20";"y20";"z20";"a20";"idJoint21";"x21";"y21";"z21";"a21";"idJoint23";"x23";"y23";"z23";"a23"
1;1342167960491;crouched;0;319.4136;148.97658;2365.962;1.0;1;306.5592;196.9327;2390.7996;1.0;2;298.86072;234.55402;2420.1716;1.0;5;281.3542;194.84392;2282.0466;1.0;6;315.99695;215.93935;2080.8755;1.0;8;401.23752;208.77116;2004.029;1.0;11;329.57092;198.83972;2499.5525;1.0;12;356.3221;252.49628;2460.8503;1.0;14;363.6707;210.1586;2216.4917;1.0;16;280.05237;271.90643;2399.7307;1.0;17;245.96165;345.25034;2121.6926;1.0;19;273.01498;358.29263;2431.3638;1.0;20;302.19116;270.66504;2499.357;1.0;21;323.3292;343.53366;2431.7522;1.0;23;299.35773;362.43658;2585.448;1.0
1;1342167960557;crouched;0;319.9025;149.76901;2367.797;1.0;1;308.58698;197.22981;2383.718;1.0;2;300.35846;234.23682;2412.2996;1.0;5;283.4238;194.51222;2280.6797;1.0;6;317.47137;216.35304;2083.9424;1.0;8;403.4011;209.07462;1989.7703;1.0;11;331.66492;199.72218;2486.756;1.0;12;355.9314;250.2966;2488.219;1.0;14;363.032;211.43332;2225.2693;1.0;16;280.6238;270.64236;2392.063;1.0;17;245.54279;344.1926;2111.4104;1.0;19;273.05133;353.98337;2439.484;1.0;20;303.56265;270.1223;2489.6995;1.0;21;321.6008;345.5672;2447.047;1.0;23;300.0564;357.7795;2596.8584;1.0
1;1342167960638;crouched;0;320.55737;150.7628;2368.9717;1.0;1;307.41907;199.97511;2387.7324;1.0;2;300.00146;238.1301;2407.2078;1.0;5;284.77087;197.11302;2275.9563;1.0;6;318.89856;219.02818;2074.6775;1.0;8;408.51654;210.73705;1989.274;1.0;11;328.04166;202.58124;2499.5083;1.0;12;356.02005;247.72621;2490.4985;1.0;14;361.8263;210.00807;2242.7505;1.0;16;282.43045;276.0487;2375.4062;1.0;17;246.34209;341.3325;2117.1826;1.0;19;274.4253;348.4867;2454.1096;1.0;20;302.55026;275.31216;2477.96;1.0;21;321.1369;353.2008;2431.2278;1.0;23;291.30774;356.29294;2639.3613;1.0
1;1342167960715;crouched;0;321.1099;151.25317;2370.2888;1.0;1;307.92917;198.94872;2389.1816;1.0;2;300.61716;238.77031;2413.8242;1.0;5;283.71143;196.58337;2282.426;1.0;6;316.85056;218.61462;2079.9937;1.0;8;403.6155;210.9872;1990.9242;1.0;11;330.07523;201.11172;2495.9373;1.0;12;358.90173;247.82907;2478.989;1.0;14;363.60486;210.94052;2242.89;1.0;16;280.01425;278.50076;2378.4143;1.0;17;247.29022;344.79825;2112.3516;1.0;19;271.37866;359.54184;2430.291;1.0;20;306.24567;277.1076;2498.5193;1.0;21;320.3988;351.30698;2435.4077;1.0;23;294.59116;350.77676;2682.7751;1.0
1;1342167960776;crouched;0;321.0925;151.60777;2371.4583;1.0;1;308.27664;198.77338;2389.1353;1.0;2;302.91772;237.00026;2410.1926;1.0;5;286.3543;197.45741;2275.5078;1.0;6;320.0021;220.02579;2069.0146;1.0;8;412.63644;210.46283;1971.012;1.0;11;328.2084;199.96983;2502.7627;1.0;12;358.44672;247.25114;2480.512;1.0;14;361.05322;210.18587;2253.2976;1.0;16;288.75497;275.54315;2384.0784;1.0;17;246.8963;347.11926;2126.0479;1.0;19;269.91766;365.0593;2442.684;1.0;20;306.2096;273.62402;2478.4214;1.0;21;321.40295;350.48502;2424.0945;1.0;23;296.34967;349.03174;2688.5393;1.0
1;1342167960874;crouched;0;321.15677;151.69157;2373.3252;1.0;1;308.23358;198.85193;2390.7034;1.0;2;301.50528;236.80016;2416.6956;1.0;5;284.36777;197.1563;2282.2036;1.0;6;318.3739;219.63329;2071.4102;1.0;8;411.1673;206.64474;1964.5325;1.0;11;330.02716;200.40034;2499.2031;1.0;12;360.9871;249.567;2470.412;1.0;14;362.86868;210.87148;2257.647;1.0;16;284.1799;274.76242;2392.816;1.0;17;246.97289;347.7045;2110.5527;1.0;19;272.02167;367.15683;2435.9382;1.0;20;305.23062;273.152;2492.5596;1.0;21;305.23163;367.5842;2508.5217;1.0;23;304.37885;351.86417;2655.8079;1.0
1;1342167960953;crouched;0;320.66428;151.71536;2374.0642;1.0;1;308.24442;199.21344;2397.446;1.0;2;299.6724;237.38774;2424.0603;1.0;5;284.44888;196.50131;2288.6865;1.0;6;316.4012;219.16962;2088.8096;1.0;8;407.00046;195.6561;1933.67;1.0;11;329.97467;201.69017;2506.2056;1.0;12;361.5795;250.01363;2449.9966;1.0;14;354.49188;218.78455;2377.3462;1.0;16;278.9343;275.17303;2393.5645;1.0;17;255.73512;346.56757;2162.689;1.0;19;274.55984;368.42972;2448.4136;1.0;20;303.0762;274.3128;2507.7847;1.0;21;311.75058;366.11987;2486.3606;1.0;23;301.3813;353.00848;2653.3994;1.0
1;1342167961014;crouched;0;320.2252;151.77324;2374.0369;1.0;1;308.07867;202.26144;2395.3252;1.0;2;298.5735;237.88531;2421.7002;1.0;5;282.8822;198.52739;2289.0576;1.0;6;316.64505;214.61978;2085.513;1.0;8;395.05093;187.02876;1944.9775;1.0;11;331.13446;205.67825;2501.593;1.0;12;362.0072;255.23195;2445.5613;1.0;14;356.86652;222.22229;2368.5913;1.0;16;274.72168;272.48367;2386.2405;1.0;17;252.37634;348.78683;2132.973;1.0;19;277.06213;360.08835;2436.1587;1.0;20;303.10757;272.9868;2509.9097;1.0;21;312.23132;362.5229;2490.769;1.0;23;300.94492;350.98666;2655.3582;1.0
1;1342167961094;crouched;0;315.189;152.01712;2371.0796;1.0;1;304.48453;205.60905;2376.9714;1.0;2;297.1352;240.75961;2415.758;1.0;5;275.80057;204.38481;2282.6904;1.0;6;306.26703;235.34671;2088.6396;1.0;8;364.95053;206.24377;1982.9391;1.0;11;330.97986;206.73987;2471.2522;1.0;12;352.7636;250.42815;2478.7874;1.0;14;357.63815;218.18214;2346.5664;1.0;16;275.3628;275.61685;2404.8325;1.0;17;253.63692;342.03555;2091.676;1.0;19;272.89072;363.4413;2447.712;1.0;20;304.09152;274.0142;2504.2568;1.0;21;326.7889;338.95184;2444.7705;1.0;23;295.97604;352.6307;2622.5408;1.0
1;1342167961160;crouched;0;313.4941;152.57504;2370.7095;1.0;1;301.6364;205.3661;2386.6628;1.0;2;296.92838;241.22453;2432.7712;1.0;5;271.24698;205.50569;2315.4788;1.0;6;281.19003;251.04875;2168.278;1.0;8;336.96405;203.38782;2007.9958;1.0;11;330.26556;205.23459;2457.847;1.0;12;354.2696;245.42508;2449.584;1.0;14;354.29974;216.45337;2327.3647;1.0;16;277.0347;276.9025;2441.295;1.0;17;252.42958;343.64938;2096.261;1.0;19;270.15546;365.88187;2452.8777;1.0;20;307.29745;274.62997;2516.4646;1.0;21;329.78165;343.7535;2441.0164;1.0;23;296.97263;350.73853;2623.2356;1.0
